name,query,reason
Catalyst,site:linkedin.com/company catalyst.app trading catalyst,"candidate catalyst-trading-company only matched via unreliable context signal, not company name/domain — kept existing URL, true match not found"
Radpod,site:linkedin.com/company radpod.ai,"candidate radai only matched via unreliable context signal — kept existing URL, true match not found"
Carousel,site:linkedin.com/company Carousel usecarousel.com,"candidate carousel-industries only matched via unreliable context signal — kept existing URL, true match not found"
Banker,site:linkedin.com/company banker.so,"candidate the-bankers-bank is a different, unrelated company (American Banker/Bankers' Bank family) — false positive, cleared"
Bynd,site:linkedin.com/company Bynd bynd.ai finance,"candidate bynd-venture-capital only matched via unreliable context signal — kept existing URL, true match not found"
Keru,site:linkedin.com/company keru.ai,"candidate koru-global-inc only matched via unreliable context signal — kept existing URL, true match not found"
Stratalens,site:linkedin.com/company StrataLens stratalens.ai equity research,"candidate stratalys-research only matched via unreliable context signal — kept existing URL, true match not found"
Trata,site:linkedin.com/company Trata trytrata.com,"candidate trata-solucoes-acusticas is an unrelated Brazilian acoustics company — false positive, kept existing URL"
Wissen AI,"site:linkedin.com/company ""Wissen AI"" wissen-ai.com","candidate wissen-research only matched via unreliable context signal — kept existing URL, true match not found"
Checkmake Research,"site:linkedin.com/company ""Checkmate"" checkmateresearch.ai","candidate checkmate-ai only matched via unreliable context signal — kept existing URL, true match not found"
Metal,site:linkedin.com/company metal.ai private capital,"candidate liquidcapitalai only matched via unreliable context signal — kept existing URL, true match not found"
Alpharepo,site:linkedin.com/company AlphaRepo alpharepo.com,"candidate alpharep-pharma is an unrelated pharma company — false positive, kept existing URL"
Big Data,"site:linkedin.com/company ""Bigdata.com"" RavenPack",no linkedin.com/company/ URL found in response/search results [retried: still no URL]
Clifton AI,"site:linkedin.com/company ""Clifton AI"" cliftonai.com","no linkedin.com/company/ URL found in response/search results [retried: candidate https://www.linkedin.com/company/cliftonai also failed: slug 'cliftonai' doesn't bidirectionally match 'Clifton AI', domain 'https://cliftonai.com/' not found in result context, and domain doesn't directly map to slug]"
