name,domain,founders,founder_linkedin_urls,comment,founder_dna,classification_badge,status,source_list,linkedin_company_url
Ahead Innovation Labs,https://www.aheadinnovationlabs.com/,Daniele Marmiroli PhD; Adam Miller CPA MBA; Ragnar Ragnars,https://www.linkedin.com/in/daniele-marmiroli; https://www.linkedin.com/in/adamwilliammiller; https://www.linkedin.com/in/ragnar-s-ragnars,,,✨,✅,ai-for-hedge-funds,https://www.linkedin.com/company/ahead-innovation-laboratories
Aiera,https://aiera.com/,Ken Sena; Bryan Healey,https://www.linkedin.com/in/ken-sena-6204b59; https://www.linkedin.com/in/bryanhealey/,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/aiera-inc
Alpharepo,https://www.alpharepo.com/,Rushil Murikinati; Joseph Brookhart,https://www.linkedin.com/in/rushil-murikinati-96a90b169; https://www.linkedin.com/in/josephbrookhart/,,,📊,✅,ai-for-hedge-funds,https://www.linkedin.com/company/alpharepo
Alphasense,https://www.alpha-sense.com/,Jaakko Koko,https://www.linkedin.com/in/jkokko/,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/alphasense
AlphaWatch AI,https://alphawatch.ai/,Varun Varahabhotla,https://www.linkedin.com/in/varunvnv,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/alphawatch-ai
AQ22,https://aq22.ai/,David Mataciunas,https://www.linkedin.com/in/deividas-mataciunas,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/aq22
Auquan,https://www.auquan.com/,Chandini Jain,https://www.linkedin.com/in/chandinijain,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/auquan
Axyon AI,https://axyon.ai/,Daniele Grassi,https://it.linkedin.com/in/danielegrassi84,,,✨,✅,ai-for-hedge-funds,https://www.linkedin.com/company/axyon-ai
Banker,https://www.banker.so/,,,,,📊,✅,ai-for-hedge-funds,
Batonics,https://www.batonics.com/,Ahmed AlNomany,https://www.linkedin.com/in/ahmedalnomany,,,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/batonics-ab
Big Data,https://bigdata.com/,,,by data provider Ravenpack,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/big-data
Blue Flame,https://www.blueflame.ai/,Raj Bakhru,https://www.linkedin.com/in/raj-bakhru,Acquired by Datasite,,🧠,🤝,ai-for-hedge-funds,https://www.linkedin.com/company/blueflameai
Boosted.ai,https://www.boosted.ai/,Joshua Pantony; Jon Dorando,https://www.linkedin.com/in/joshua-pantony-266a3243; https://www.linkedin.com/in/jon-dorando-b7930413,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/boostedai
Bridgewise,https://bridgewise.com/,,,,,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/bridgewise
Brightwave,https://brightwave.io/,Mike Conover,https://www.linkedin.com/in/michaelconover/,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/brightwaveio
Brownloop,https://www.brownloop.com/,Apurva Pandey,https://www.linkedin.com/in/pandeyapurva/,,,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/brownloop
Bynd,https://www.bynd.ai/,Nikhil Sahni,https://www.linkedin.com/in/nikhilsahni10/,,,⚙️,✅,ai-for-hedge-funds,
Canary Data,https://www.canary-data.com/,Joe O'Donnell,https://www.linkedin.com/in/joeodonnell/,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/canarydatainc
Caprelay,https://www.caprelay.com/,Chi Song,https://www.linkedin.com/in/chi-song-80204820,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/caprelay
Captide,https://www.captide.ai/,Miquel Trafi Ruez; Maurits Brinkman,https://www.linkedin.com/in/miqueltrafi/; https://www.linkedin.com/in/maurits-brinkman/,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/captide
Carousel,https://usecarousel.com/,,,Acquired by Alphasense,,✨,🤝,ai-for-hedge-funds,https://www.linkedin.com/company/carousel-tech
Carriage Models,https://carriagemodels.com/,,,,,✨,✅,ai-for-hedge-funds,https://www.linkedin.com/company/carriagemodels
Catalyst,https://catalyst.app/,,,Automated Backtesting,,✨,✅,ai-for-hedge-funds,
Catalyst Edge,https://www.catalystedge.ai/,,,Biotech catalyst focus,,🖥️,✅,ai-for-hedge-funds,https://www.linkedin.com/company/catalyst-edge
Causality AI,https://causaility.ai/,Sam Abrika,https://www.linkedin.com/in/sam-abrika/,,,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/causaility-ai
Chatsheet,https://chatsheet.com/,Anson Hwang,https://pr.linkedin.com/in/ansonhwang,Founded by my former Wharton classmate; heavy hedge fund bend,,⚙️,✅,ai-for-hedge-funds,https://www.linkedin.com/company/chatsheet
Checkmake Research,https://checkmateresearch.ai/,,,,,,,ai-for-hedge-funds,https://www.linkedin.com/company/checkmate-research/
Clifton AI,https://cliftonai.com/,,,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/cliftonai/
Complexiti,https://complexiti.ai/,Chris Ellis,https://www.linkedin.com/in/chris3llis/,,,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/complexiti.ai/
Compound,https://getcompound.ai/,Yijia Liang,https://www.linkedin.com/in/yijia-liang/,"Research Copilot, with Excel Copilot built-in",,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/compound-ai/
Current,https://www.usecurrent.ai/,Dan Swiecki,https://www.linkedin.com/in/danielswiecki/,Incubated and still run by Walleye Capital; not publicly available to competing funds,,🖥️,✅,ai-for-hedge-funds,https://www.linkedin.com/company/current
Cyndx,https://www.cyndx.com/,Jim McVeigh,https://www.linkedin.com/in/jamesmcveigh,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/cyndx
Daloopa,https://daloopa.com/,Thomas Li,https://www.linkedin.com/in/thomas-li-a6189245,,,📊,✅,ai-for-hedge-funds,https://www.linkedin.com/company/daloopa
Dataglade,https://dataglade.com/,,,,,🖥️,✅,ai-for-hedge-funds,https://www.linkedin.com/company/dataglade
Decisional AI,https://www.decisional.com/finance,Dhruv Tandon; Sai Neeraj Kanuri,https://www.linkedin.com/in/tandondhruv; https://www.linkedin.com/in/neerajkanuri,Appears to be pivoting away from asset management,,🧠,🔄,ai-for-hedge-funds,https://www.linkedin.com/company/decisional-ai
Deep Insight Labs,https://deepinsightlabs.ai/,,,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/deep-insight-labs
DeepVest,https://www.deepvest.ai/,Toby Wade; Piotr Pomorski,https://www.linkedin.com/in/toby-wade-phd-12a4302/; https://www.linkedin.com/in/pomorskipiotr/,fka Benjamin AI,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/deepvestai
Desia,https://www.desia.ai/,,,,,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/desia-ai
Dili AI,https://investors.dili.ai/,,,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/dili-ai
Docubridge,https://www.docubridge.ai/,Dhruv Kulkarni,https://www.linkedin.com/in/dhruv-kulkarni,,,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/docubridge
Dotadda,https://knowledge.dotadda.io/,Andrew Meister,https://www.linkedin.com/in/andrewmeisterwi,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/dotadda-inc
Elastics,https://www.elastics.ai/,Szymon Pawica,https://www.linkedin.com/in/szymonpawica/,,,✨,✅,ai-for-hedge-funds,https://www.linkedin.com/company/elastics-ai
Endex,https://endex.ai/,Tarun Amasa,https://www.linkedin.com/in/tarunamasa,OpenAI'sinvestmentin the space,,📊,✅,ai-for-hedge-funds,https://www.linkedin.com/company/endexai
Entelligent,https://www.entelligent.ai/,,,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/entelligent
Epoch,https://www.epoch.trade/,Garret Brennan; Adesola Adedewe,https://www.linkedin.com/in/garret-brennan-04a135180/; https://www.linkedin.com/in/dewe2017/,"Research copilot, but focused more on quant insights",,🧠,✅,ai-for-hedge-funds,
Exvai Research,https://exvai-research.com/,,,,,✨,✅,ai-for-hedge-funds,https://www.linkedin.com/company/exvai-research/
F2,https://www.f2.ai/,,,Private equity only focused,,,✅,ai-for-hedge-funds,
Farsight,https://www.farsight-ai.com/,Samir Dutta; Noah Faro; Kunal Tangri,https://www.linkedin.com/in/samir-dutta-106730107/; https://www.linkedin.com/in/noahfaro/; https://www.linkedin.com/in/kunal-tangri-61ba48121/,,,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/farsight-ai
Fey,https://www.fey.com/,Dennis Brotzky,https://www.linkedin.com/in/dennis-brotzky-3a3944305/,,,🖥️,✅,ai-for-hedge-funds,https://www.linkedin.com/company/fey-industries
Filot,https://www.filot.ai/,Bjorn Birkelund,https://www.linkedin.com/in/bjornbirkelund/,,,📊,✅,ai-for-hedge-funds,
Finaipro,https://www.finaipro.com/,,,,,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/finaipro
Financial AI,https://thefinancial.ai/,,,Natural language to quant back-test,,✨,✅,ai-for-hedge-funds,https://www.linkedin.com/company/thefinancialai
Finbar,https://finbar.com/,Edward Huang,https://www.linkedin.com/in/edward-huang-cfa-8807b4149,,,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/fin-bar
Finoco,https://finoco.ai/,,,,,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/finoco-ai
Finpilot,https://finpilot.ai/,Lakshay Chauhan; John Alberg,https://www.linkedin.com/in/lakshaykchauhan; https://www.linkedin.com/in/john-alberg-8b09a73,,,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/finpilot-ai
Finrep,https://finrep.ai/,,,,,🧠,✅,ai-for-hedge-funds,
Finster AI,https://finster.ai/,Siddhant Jayakumar,https://www.linkedin.com/in/siddhant-jayakumar-1a084b58,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/finster-ai
FinSynth,https://finsynth.ai/,Kartik Agarwal,https://www.linkedin.com/in/kargrwl,,,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/finsynthai
Fintool,https://fintool.com/,Nicolas Bustamante; Edouard Godfrey,https://www.linkedin.com/in/bustamantenicolas; https://www.linkedin.com/in/edouardgodfrey,,,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/fintoolx
Fira,https://firaresearch.com/,Alex Tkachenko,https://www.linkedin.com/in/alextcn/,,,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/fira
First Draft Research,https://firstdraftresearch.com/waitlist,https://x.com/atelicinvest,https://x.com/atelicinvest,,,,✅,ai-for-hedge-funds,
Fiscal AI,https://fiscal.ai/,Braden Dennis,https://www.linkedin.com/in/braden-dennis-881a88b0/,F/k/a FinChat; has moved towards provided LLM-structured financial data,,🖥️,✅,ai-for-hedge-funds,https://www.linkedin.com/company/fiscaldotai
Fix Parser,https://fixparser.dev/,,,"""MCP For FIX Connections"" - first I have seen in this category. Also runsAgentic Trade",,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/fixparser
Formula Insight,https://www.formulainsight.io/,Will Tong; Stefan Raghavan,https://www.linkedin.com/in/will-tong-04046a162; https://www.linkedin.com/in/stefan-raghavan-957204a1,,,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/formula-insight
Fyva,https://www.fyva.ai/,Nemi Badrisingh,https://www.linkedin.com/in/nemika-badrisingh/,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/shopfyva
Hebbia,https://hebbia.com/,George Sivulka,https://www.linkedin.com/in/sivulka/,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/hebbia
Hudson Labs,https://hudson-labs.com/,Kris Benatti; Suhas Pai,https://www.linkedin.com/in/kbennatti/; https://www.linkedin.com/in/piesauce,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/hudson-labs
Implied,https://implied.com/,Ying Hua,https://www.linkedin.com/in/yinghua26,,,🧠,✅,ai-for-hedge-funds,https://www.linkedin.com/company/implied-ai
Inven,https://www.inven.ai/,,,,,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/inven-ai
Invesst,https://invesst.ai/,Noah Dixon,https://www.linkedin.com/in/noah-dixon-316a651b8,,,🖥️,✅,ai-for-hedge-funds,https://www.linkedin.com/company/invesstai
Keru,https://www.keru.ai/,,,,,🧠,✅,ai-for-hedge-funds,
Keye,https://keye.co/,Conor Brown; Lalit Lal; Rohan Parikh,https://www.linkedin.com/in/conor-brown-9a02849b; https://www.linkedin.com/in/lalitlal; https://www.linkedin.com/in/parikhrohan/,,,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/keye/
Kshana,https://www.kshana.ai/,,,,,,✅,ai-for-hedge-funds,https://www.linkedin.com/company/kshana-inc
